timestamp,motion,lux_nocturno,temperature
2026-09-12T00:00:00Z,0,28.4,15.1
2026-09-12T00:01:00Z,0,34.2,14.0
2026-09-12T00:02:00Z,0,40.6,14.7
2026-09-12T00:03:00Z,1,39.4,14.0
2026-09-12T00:04:00Z,1,32.2,15.2
2026-09-12T00:05:00Z,0,36.5,15.9
2026-09-12T00:06:00Z,1,28.2,14.2
2026-09-12T00:07:00Z,1,33.2,14.6
2026-09-12T00:08:00Z,0,30.7,14.9
2026-09-12T00:09:00Z,0,26.6,14.1
2026-09-12T00:10:00Z,1,34.6,14.4
2026-09-12T00:11:00Z,0,25.7,15.5
2026-09-12T00:12:00Z,0,29.7,14.4
2026-09-12T00:13:00Z,1,35.2,15.0
2026-09-12T00:14:00Z,0,33.7,14.6
2026-09-12T00:15:00Z,1,35.8,14.3
2026-09-12T00:16:00Z,0,31.2,14.8
2026-09-12T00:17:00Z,0,33.1,14.0
2026-09-12T00:18:00Z,0,42.1,14.0
2026-09-12T00:19:00Z,0,31.0,14.8
2026-09-12T00:20:00Z,0,38.9,14.0
2026-09-12T00:21:00Z,0,44.0,14.9
2026-09-12T00:22:00Z,1,46.0,14.0
2026-09-12T00:23:00Z,1,42.3,15.2
2026-09-12T00:24:00Z,1,28.7,14.2
2026-09-12T00:25:00Z,1,42.6,15.7
2026-09-12T00:26:00Z,0,41.5,14.3
2026-09-12T00:27:00Z,0,29.4,15.7
2026-09-12T00:28:00Z,0,37.2,14.8
2026-09-12T00:29:00Z,1,36.8,14.2
2026-09-12T00:30:00Z,1,33.3,15.2
2026-09-12T00:31:00Z,1,43.1,14.1
2026-09-12T00:32:00Z,0,25.6,15.4
2026-09-12T00:33:00Z,0,40.2,14.5
2026-09-12T00:34:00Z,0,30.9,14.8
2026-09-12T00:35:00Z,1,33.7,14.2
2026-09-12T00:36:00Z,1,36.7,14.1
2026-09-12T00:37:00Z,1,34.5,14.3
2026-09-12T00:38:00Z,0,34.5,15.4
2026-09-12T00:39:00Z,1,46.2,14.5
2026-09-12T00:40:00Z,0,46.8,14.6
2026-09-12T00:41:00Z,0,45.0,15.0
2026-09-12T00:42:00Z,0,36.3,15.0
2026-09-12T00:43:00Z,0,43.6,14.9
2026-09-12T00:44:00Z,0,40.6,14.3
2026-09-12T00:45:00Z,0,41.6,14.8
2026-09-12T00:46:00Z,0,31.6,14.9
2026-09-12T00:47:00Z,0,28.0,15.3
2026-09-12T00:48:00Z,0,45.3,14.2
2026-09-12T00:49:00Z,0,27.9,16.3
2026-09-12T00:50:00Z,1,40.2,14.4
2026-09-12T00:51:00Z,0,36.3,14.2
2026-09-12T00:52:00Z,0,31.8,15.1
2026-09-12T00:53:00Z,1,44.1,15.5
2026-09-12T00:54:00Z,1,32.9,14.2
2026-09-12T00:55:00Z,0,44.2,15.7
2026-09-12T00:56:00Z,1,42.1,15.2
2026-09-12T00:57:00Z,1,29.7,15.0
2026-09-12T00:58:00Z,0,42.8,14.7
2026-09-12T00:59:00Z,0,28.9,15.5
2026-09-12T01:00:00Z,0,26.3,14.8
2026-09-12T01:01:00Z,1,34.5,14.7
2026-09-12T01:02:00Z,0,36.2,15.4
